Title ID	Region	Name	PKG direct link	zRIF	Content ID	Last Modification Date	Original Name	File Size	SHA256	Required FW	App Version
PCSG00465	JP	僵屍卡牌 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00465_00/JP0082-PCSG00465_00-DEADMANSCROSSJPN_bg_1_614043bd6244a1a71278d467de5eb7f9b659ed3d.pkg	KO5ifR1dg/J5YXyvAKArYLaYmJmC7HdxdXTxdfQLdg7yDw72CvDD578wh7x1O9W3T79/8MXDT5/sZo/G+OAGAIJDFy8A	JP0082-PCSG00465_00-DEADMANSCROSSJPN	2018/5/4 02:33	デッドマンズ・クルス	199359200	e4f00ffce8711eccc5ccc54e90551cb6ca1d337f26992f9ca6e92de13bd5c4ef	3.36	1
PCSG00466	JP	戰極姬 5：斬斷戰渦的霸王之系譜 [ 日文版 ]	MISSING	MISSING	JP0393-PCSG00466_00-APP0000000000000		戦極姫５～戦禍断つ覇王の系譜～	3378611328			
PCSG00467	JP	戀愛ADV & 人狼游戲 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0367/PCSG00467_00/JP0367-PCSG00467_00-0000000000000000_bg_1_8836fdf32782c868b03c4eb5dae7038daacf3d40.pkg	KO5ifR1dQ+d7BRgYm5lDbTExMwfZb4AG8Pkvxj67V99yvUdeurhOwIRmvtEYH9wAAOlgEPIA	JP0367-PCSG00467_00-0000000000000000	2018/7/23 20:53	Vamwolf Cross† 初回生産版	1444277600	463cbca325ba205c03da53dac819f7c8601504b5f54678ad887a18790dbdb70d	3.5	1
PCSG00468	JP	黑蝶幻境 [ 日文版 ]	MISSING	MISSING	JP0031-PCSG00468_00-PSYCHEDELICAOFBB		黒蝶のサイケデリカ	1590615696			
PCSG00469	JP	最後一秒 ExTime [ 日文版 ]	MISSING	MISSING	JP0031-PCSG00469_00-CLOCKZEROEXTIME0			3503269296			
PCSG00470	JP	華麗一族：摩登時代 [ 日文版 ]	MISSING	MISSING	JP0031-PCSG00470_00-HANAYAKAMODERN00			1814922832			
PCSG00471	JP	戰國無雙 編年史 3 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0106/PCSG00471_00/haMpUHMmgTaERliIXhcTxORvplQxMmWsXzpWePbiCwLkIcZAJOvuRdNOwrqtXXLGPclfPEUpsQRIUyvKVjHCKLFMtZPuChXqDOwyU.pkg	KO5ifR1dQ+d7BRgYGphBbTExNwTbHxDg4+nsGOLp7we2FJ//PtR2RWwLCFx9sCpXPfMq77PRGB/cAACdDhTe	JP0106-PCSG00471_00-APPLICATION00000	2018/7/8 23:28	戦国無双 Chronicle ３	2115484832	a74b27e4bd5240f6c4100bf40c2b4507da5daa53e584c3e45a0947a65b6ff9c8	3.3	1
PCSG00472	JP	魔鬼戀人 狂歡節 [ 日文版 ]	MISSING	MISSING	JP0031-PCSG00472_00-DIABOLIKLOVERSVC			2797145872			
PCSG00473	JP	冰封觸點 精簡版 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0115/PCSG00473_00/HKlpgTjOFEVFYVOBQrdlbppwNvSuIJukvUCCehEwEfasqJJxVjwDhPeVWNxTjviBRYjEMrJjzXCutiIvygIVZDxAlzgClJyMVxYHz.pkg	KO5ifR1dQ+d7BRgYGppCbTExNwbZ7xbkH+XqFxzp5xgAtguf/97/WtuQW/nbTuzMFDahI6EqozE+uAEA2e8U8gAA	JP0115-PCSG00473_00-FROZENSYNAPSE000	2017/9/26 00:00		284902640	070a9a214e2b6aac1e63bec71e288ac4ff333855546c00de9620e923d1095aa6	3.15	1
PCSG00474	JP	聖王國 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0365/PCSG00474_00/JP0365-PCSG00474_00-0000000000000000_bg_1_108e83584b8b25c59f5a50cf1581c2940f7a7955.pkg	KO5ifR1dg/J5YXyvAANjM1OoLSbmJiD7DdAAPv/Nfnx1YgtPin4Sp+qdb30sOoM8OphHenoEAMZ6EqgA	JP0365-PCSG00474_00-0000000000000000	2017/9/26 00:00	グランキングダム	1328162816	124a91d4bd49f908d36d48e9488bc052d63e722865aa1001e3308f56525845da	3.55	1
PCSG00475	JP	M3：索諾黑鋼 Mission Memento Mori [ 日文版 ]	MISSING	MISSING	JP0700-PCSG00475_00-M3MMMVITA0000000		Ｍ３～ソノ黑キ鋼～///MISSION MEMENTO MORI	1460191696			
PCSG00476	JP	魔鬼戀人 血祭 極限 V [ 日文版 ]	MISSING	MISSING	JP0031-PCSG00476_00-DIABOLIKLOVERSMB			3303487344			
PCSG00477	JP	百華夜光 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0031/PCSG00477_00/JP0031-PCSG00477_00-HYAKKAYAKOH00000_bg_1_735fbf505527ac20f08085ace6ed1a69a23680e0.pkg	KO5ifR1dQ+d7BQDtN4TaYmJuDrLfI9LR29sRSPh7gC3F5z+zVQsPHX1/ioPh74NZ7PWFh0ZjfHADALqBFYoA	JP0031-PCSG00477_00-HYAKKAYAKOH00000	2018/8/31 18:14	百華夜光	2054202816	b8f1f87ab580c839727884a0fff7a35c24650848a1b17f90fa964fb7b9b8652f	3.35	1
PCSG00478	JP	KLAP!! 愛與懲罰 [ 日文版 ]	MISSING	MISSING	JP0031-PCSG00478_00-KLAP000000000000			2965114656			
PCSG00479	JP	不可思議的迷宮 風來的西林 5 Plus：命運塔與命運骰子 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0365/PCSG00479_00/JP0365-PCSG00479_00-SHIREN5PLUS00000_bg_1_c72fe13612a68ace95357737869ecf3fe9872faa.pkg	KO5ifR1dg/J5YXyvAANjM1OoLSbmliD7gz08g1z9TAN8QoPBluLzX3q6lcDzylDtiF6BNetnhj4b5NHBPNLTIwDiPxPU	JP0365-PCSG00479_00-SHIREN5PLUS00000	2017/9/26 00:00	不思議のダンジョン 風来のシレン5 plus フォーチュンタワーと運命のダイス	420159216	e2ed8a274214c3f4f40c38d70d9ba87fd54c38e336737e9b21f829a43fdd3377	3.36	1
PCSG00480	JP	憂世浪士 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0365/PCSG00480_00/JP0365-PCSG00480_00-PACKAGE000000000_bg_1_07a86502b276c80260ca71fa0e36a47d0c8eaced.pkg	KO5ifR1dQ+d7BRgYm5lCbTGxANsf4Ojs7ejuCrcUn/92hHdrxH0Vnfe0gf/m3rMibKMxPrgBALWzE8UA	JP0365-PCSG00480_00-PACKAGE000000000	2018/5/25 08:46	憂世ノ浪士	2655413536	84a9a95374c0714fccd69cab2d51a8b26d268787fca29d5dda0f37d770e6a904	3.35	1
PCSG00481	JP	緋紅帝國 新裝版 [ 日文版 ]	MISSING	MISSING	JP0275-PCSG00481_00-QUEENROSEPRESENT		新装版 クリムゾン・エンパイア				
